2024-09-16 15:09:51,1,23.58,859.38,66.24
2024-09-16 15:09:51,2,23.76,858.69,62.20
2024-09-16 15:09:52,1,23.58,859.40,66.24
2024-09-16 15:09:52,2,23.76,858.68,62.20
2024-09-16 15:09:53,1,23.58,859.40,66.24
2024-09-16 15:09:53,2,23.76,858.71,62.21
2024-09-16 15:09:54,1,23.58,859.41,66.24
2024-09-16 15:09:54,2,23.76,858.69,62.20
2024-09-16 15:09:55,1,23.58,859.39,66.25
2024-09-16 15:09:55,2,23.76,858.68,62.22
2024-09-16 15:09:56,1,23.58,859.38,66.24
2024-09-16 15:09:56,2,23.76,858.68,62.14
2024-09-16 15:09:57,1,23.58,859.36,66.24
2024-09-16 15:09:57,2,23.76,858.67,62.11
2024-09-16 15:09:58,1,23.58,859.38,66.24
2024-09-16 15:09:58,2,23.76,858.69,62.07
2024-09-16 15:09:59,1,23.58,859.36,66.23
2024-09-16 15:09:59,2,23.76,858.67,62.05
2024-09-16 15:10:00,1,23.58,859.41,66.24
2024-09-16 15:10:00,2,23.76,858.70,62.06
2024-09-16 15:10:01,1,23.58,859.38,66.23
2024-09-16 15:10:01,2,23.76,858.69,62.09
2024-09-16 15:10:02,1,23.58,859.38,66.23
2024-09-16 15:10:02,2,23.76,858.70,62.13
2024-09-16 15:10:03,1,23.58,859.40,66.23
2024-09-16 15:10:03,2,23.76,858.70,62.12
2024-09-16 15:10:04,1,23.58,859.43,66.23
2024-09-16 15:10:04,2,23.76,858.70,62.07
2024-09-16 15:10:05,1,23.58,859.40,66.23
2024-09-16 15:10:05,2,23.76,858.69,62.05
2024-09-16 15:10:06,1,23.59,859.41,66.24
2024-09-16 15:10:06,2,23.76,858.70,62.09
2024-09-16 15:10:07,1,23.58,859.42,66.23
2024-09-16 15:10:07,2,23.76,858.70,62.14
2024-09-16 15:10:08,1,23.58,859.38,66.20
2024-09-16 15:10:08,2,23.76,858.71,62.15
2024-09-16 15:10:09,1,23.58,859.39,66.23
2024-09-16 15:10:09,2,23.76,858.67,62.15
2024-09-16 15:10:10,1,23.58,859.39,66.23
2024-09-16 15:10:10,2,23.76,858.69,62.12
2024-09-16 15:10:11,1,23.58,859.34,66.23
2024-09-16 15:10:11,2,23.76,858.69,62.07
2024-09-16 15:10:12,1,23.58,859.39,66.23
2024-09-16 15:10:12,2,23.76,858.70,62.06
2024-09-16 15:10:13,1,23.58,859.37,66.23
2024-09-16 15:10:13,2,23.76,858.69,62.06
2024-09-16 15:10:14,1,23.58,859.38,66.23
2024-09-16 15:10:14,2,23.76,858.71,62.07
2024-09-16 15:10:15,1,23.58,859.38,66.23
2024-09-16 15:10:15,2,23.76,858.65,62.08
2024-09-16 15:10:16,1,23.59,859.40,66.24
2024-09-16 15:10:16,2,23.76,858.66,62.08
2024-09-16 15:10:17,1,23.59,859.37,66.25
2024-09-16 15:10:17,2,23.76,858.68,62.07
2024-09-16 15:10:18,1,23.58,859.37,66.23
2024-09-16 15:10:18,2,23.76,858.66,62.06
2024-09-16 15:10:19,1,23.58,859.37,66.23
2024-09-16 15:10:19,2,23.76,858.67,62.07
2024-09-16 15:10:20,1,23.58,859.36,66.23
2024-09-16 15:10:20,2,23.76,858.69,62.07
2024-09-16 15:10:21,1,23.58,859.36,66.23
2024-09-16 15:10:21,2,23.76,858.68,62.07
2024-09-16 15:10:22,1,23.58,859.38,66.23
2024-09-16 15:10:22,2,23.76,858.68,62.07
2024-09-16 15:10:23,1,23.58,859.40,66.22
2024-09-16 15:10:23,2,23.76,858.68,62.08
2024-09-16 15:10:24,1,23.58,859.37,66.22
2024-09-16 15:10:24,2,23.76,858.68,62.07
2024-09-16 15:10:25,1,23.58,859.38,66.23
2024-09-16 15:10:25,2,23.77,858.70,62.08
2024-09-16 15:10:26,1,23.58,859.39,66.22
2024-09-16 15:10:26,2,23.77,858.71,62.08
2024-09-16 15:10:27,1,23.58,859.38,66.22
2024-09-16 15:10:27,2,23.77,858.69,62.07
2024-09-16 15:10:28,1,23.58,859.41,66.23
2024-09-16 15:10:28,2,23.76,858.71,62.09
2024-09-16 15:10:29,1,23.58,859.39,66.22
2024-09-16 15:10:29,2,23.77,858.71,62.08
2024-09-16 15:10:30,1,23.59,859.40,66.22
2024-09-16 15:10:30,2,23.77,858.70,62.08
2024-09-16 15:10:31,1,23.58,859.39,66.22
2024-09-16 15:10:31,2,23.77,858.71,62.08
2024-09-16 15:10:32,1,23.58,859.40,66.22
2024-09-16 15:10:32,2,23.77,858.73,62.08
2024-09-16 15:10:33,1,23.59,859.40,66.22
2024-09-16 15:10:33,2,23.77,858.71,62.05
2024-09-16 15:10:34,1,23.58,859.41,66.21
2024-09-16 15:10:34,2,23.77,858.69,61.91
2024-09-16 15:10:35,1,23.58,859.40,66.22
2024-09-16 15:10:35,2,23.76,858.71,61.84
2024-09-16 15:10:36,1,23.58,859.38,66.22
2024-09-16 15:10:36,2,23.76,858.73,61.79
2024-09-16 15:10:37,1,23.59,859.40,66.21
2024-09-16 15:10:37,2,23.76,858.71,61.78
2024-09-16 15:10:38,1,23.58,859.41,66.21
2024-09-16 15:10:38,2,23.76,858.69,61.78
2024-09-16 15:10:39,1,23.59,859.42,66.20
2024-09-16 15:10:39,2,23.76,858.72,61.80
2024-09-16 15:10:40,1,23.58,859.42,66.21
2024-09-16 15:10:40,2,23.76,858.72,61.80
2024-09-16 15:10:41,1,23.58,859.42,66.20
2024-09-16 15:10:41,2,23.76,858.72,61.80
2024-09-16 15:10:42,1,23.59,859.39,66.20
2024-09-16 15:10:42,2,23.76,858.71,61.84
2024-09-16 15:10:43,1,23.58,859.38,66.20
2024-09-16 15:10:43,2,23.76,858.71,61.86
2024-09-16 15:10:44,1,23.59,859.44,66.20
2024-09-16 15:10:44,2,23.76,858.73,61.91
2024-09-16 15:10:45,1,23.59,859.41,66.21
2024-09-16 15:10:45,2,23.76,858.70,61.92
2024-09-16 15:10:46,1,23.59,859.41,66.20
