2024-10-01 15:30:27,1,24.14,858.82,68.43
2024-10-01 15:30:27,2,24.03,858.72,67.47
2024-10-01 15:30:28,1,24.15,858.83,68.35
2024-10-01 15:30:28,2,24.04,858.71,67.46
2024-10-01 15:30:29,1,24.15,858.83,68.23
2024-10-01 15:30:29,2,24.04,858.71,67.45
2024-10-01 15:30:30,1,24.15,858.84,68.14
2024-10-01 15:30:30,2,24.04,858.71,67.43
2024-10-01 15:30:31,1,24.15,858.85,68.04
2024-10-01 15:30:31,2,24.04,858.70,67.38
2024-10-01 15:30:32,1,24.15,858.85,67.98
2024-10-01 15:30:32,2,24.04,858.70,67.36
2024-10-01 15:30:33,1,24.15,858.83,67.94
2024-10-01 15:30:33,2,24.04,858.72,67.30
2024-10-01 15:30:34,1,24.15,858.84,67.94
2024-10-01 15:30:34,2,24.04,858.73,67.29
2024-10-01 15:30:35,1,24.16,858.83,68.55
2024-10-01 15:30:35,2,24.04,858.73,67.27
2024-10-01 15:30:36,1,24.16,858.84,68.40
2024-10-01 15:30:36,2,24.04,858.71,67.25
